dataset_name,xyz_lr_c,xyz_lr_final_c,radius_lr_c,radius_lr_final_c,weights_lr_c,weights_lr_final_c,mean_training_loss,mean_density_field_loss
starling,0.01,0.9,0.2,0.8,0.14,0.8,107830.77734375,0.8268594479324538
starling,0.01,0.9,0.2,0.8,0.14,0.9,109442.369140625,0.827877513003072
starling,0.01,0.9,0.2,0.8,0.2,0.7,115268.4140625,0.8430406932407265
starling,0.01,0.9,0.2,0.8,0.2,0.8,116025.291015625,0.8441799610863916
starling,0.01,0.9,0.2,0.8,0.2,0.9,116247.16796875,0.8428398806396478
starling,0.01,0.9,0.2,0.9,0.1,0.7,109824.7734375,0.8156212379562854
starling,0.01,0.9,0.2,0.9,0.1,0.8,112020.279296875,0.8013422500281757
starling,0.01,0.9,0.2,0.9,0.1,0.9,112096.583984375,0.8188485475810029
starling,0.01,0.9,0.2,0.9,0.14,0.7,109471.66796875,0.8340114267187559
starling,0.01,0.9,0.2,0.9,0.14,0.8,109662.9375,0.8217922594664557
starling,0.01,0.9,0.2,0.9,0.14,0.9,108636.630859375,0.8253969340298735
starling,0.01,0.9,0.2,0.9,0.2,0.7,115812.07421875,0.8424751852669745
starling,0.01,0.9,0.2,0.9,0.2,0.8,115805.89453125,0.8501816552765655
starling,0.01,0.9,0.2,0.9,0.2,0.9,117195.37109375,0.8457420541039342
starling,0.05,0.7,0.05,0.7,0.1,0.7,98675.029296875,0.554885803584895
starling,0.05,0.7,0.05,0.7,0.1,0.8,98889.16015625,0.5463663885894234
starling,0.05,0.7,0.05,0.7,0.1,0.9,98509.234375,0.5511527982334214
starling,0.05,0.7,0.05,0.7,0.14,0.7,102743.42578125,0.5833166893723354
starling,0.05,0.7,0.05,0.7,0.14,0.8,103614.6328125,0.5822042813110062
starling,0.05,0.7,0.05,0.7,0.14,0.9,103261.171875,0.5839159364308114
starling,0.05,0.7,0.05,0.7,0.2,0.7,106179.185546875,0.6116283659844216
starling,0.05,0.7,0.05,0.7,0.2,0.8,106093.111328125,0.6014149359204
starling,0.05,0.7,0.05,0.7,0.2,0.9,106366.8125,0.5983726062760882
starling,0.05,0.7,0.05,0.8,0.1,0.7,97020.599609375,0.5490742072915776
starling,0.05,0.7,0.05,0.8,0.1,0.8,98149.671875,0.5492579644186746
starling,0.05,0.7,0.05,0.8,0.1,0.9,99613.447265625,0.5429368412230288
starling,0.05,0.7,0.05,0.8,0.14,0.7,102359.05078125,0.5755573093250175
starling,0.05,0.7,0.05,0.8,0.14,0.8,103253.064453125,0.5783157234875889
starling,0.05,0.7,0.05,0.8,0.14,0.9,103621.884765625,0.5795259459572644
starling,0.05,0.7,0.05,0.8,0.2,0.7,105160.640625,0.6075034094829761
starling,0.05,0.7,0.05,0.8,0.2,0.8,106095.837890625,0.6004444338353079
starling,0.05,0.7,0.05,0.8,0.2,0.9,106610.083984375,0.595292360856192
starling,0.05,0.7,0.05,0.9,0.1,0.7,100709.919921875,0.5364454464189923
starling,0.05,0.7,0.05,0.9,0.1,0.8,100461.30859375,0.5369872789502919
starling,0.05,0.7,0.05,0.9,0.1,0.9,99106.841796875,0.5347113209894104
starling,0.05,0.7,0.05,0.9,0.14,0.7,102463.5859375,0.5712763107180194
starling,0.05,0.7,0.05,0.9,0.14,0.8,103023.916015625,0.5804080351625112
starling,0.05,0.7,0.05,0.9,0.14,0.9,103039.2890625,0.582228908571546
starling,0.05,0.7,0.05,0.9,0.2,0.7,104773.6484375,0.6111335960902085
starling,0.05,0.7,0.05,0.9,0.2,0.8,105357.0625,0.6042024265520655
starling,0.05,0.7,0.05,0.9,0.2,0.9,106898.31640625,0.6010727181814752
